name,rounds__name,rounds__matches__num,rounds__matches__date,rounds__matches__time,rounds__matches__team1__name,rounds__matches__team1__code,rounds__matches__team2__name,rounds__matches__team2__code,rounds__matches__score1,rounds__matches__score2,rounds__matches__score1i,rounds__matches__score2i,rounds__matches__score1et,rounds__matches__score2et,rounds__matches__score1p,rounds__matches__score2p,rounds__matches__knockout,rounds__matches__goals1__name,rounds__matches__goals1__minute,rounds__matches__goals1__offset,rounds__matches__goals1__score1,rounds__matches__goals1__score2,rounds__matches__goals1__owngoal,rounds__matches__goals1__penalty,rounds__matches__goals2__name,rounds__matches__goals2__minute,rounds__matches__goals2__offset,rounds__matches__goals2__score1,rounds__matches__goals2__score2,rounds__matches__goals2__penalty,rounds__matches__goals2__owngoal,rounds__matches__group,rounds__matches__stadium__key,rounds__matches__stadium__name,rounds__matches__city,rounds__matches__timezone
World Cup 2014,Matchday 13,39,2014-06-24,13:00,Italy,ITA,Uruguay,URU,0,1,null,null,,,,,,,,,,,,,Diego Godín,81,,0,1,,,Group D,castelao,Estádio Castelão,Fortaleza,UTC-3
World Cup 2014,Matchday 13,40,2014-06-24,13:00,Costa Rica,CRC,England,ENG,0,0,null,null,,,,,,,,,,,,,,,,,,,,Group D,mineirao,Estádio Mineirão,Belo Horizonte,UTC-3
World Cup 2014,Matchday 14,41,2014-06-25,16:00,Honduras,HON,Switzerland,SUI,0,3,null,null,,,,,,,,,,,,,Xherdan Shaqiri,6,,0,1,,,Group E,amazonia,Arena Amazônia,Manaus,UTC-4
World Cup 2014,Matchday 14,41,2014-06-25,16:00,Honduras,HON,Switzerland,SUI,,,,,,,,,,,,,,,,,Xherdan Shaqiri,31,,0,2,,,Group E,amazonia,Arena Amazônia,Manaus,UTC-4
World Cup 2014,Matchday 14,41,2014-06-25,16:00,Honduras,HON,Switzerland,SUI,,,,,,,,,,,,,,,,,Xherdan Shaqiri,71,,0,3,,,Group E,amazonia,Arena Amazônia,Manaus,UTC-4
World Cup 2014,Matchday 14,42,2014-06-25,17:00,Ecuador,ECU,France,FRA,0,0,null,null,,,,,,,,,,,,,,,,,,,,Group E,maracana,Estádio do Maracanã,Rio de Janeiro,UTC-3
World Cup 2014,Matchday 14,43,2014-06-25,13:00,Nigeria,NGA,Argentina,ARG,2,3,null,null,,,,,,Ahmed Musa,4,,1,1,,,Lionel Messi,3,,0,1,,,Group F,beirario,Estádio Beira-Rio,Porto Alegre,UTC-3
World Cup 2014,Matchday 14,43,2014-06-25,13:00,Nigeria,NGA,Argentina,ARG,,,,,,,,,,Ahmed Musa,47,,2,2,,,Lionel Messi,45,1,1,2,,,Group F,beirario,Estádio Beira-Rio,Porto Alegre,UTC-3
World Cup 2014,Matchday 14,43,2014-06-25,13:00,Nigeria,NGA,Argentina,ARG,,,,,,,,,,,,,,,,,Marcos Rojo,50,,2,3,,,Group F,beirario,Estádio Beira-Rio,Porto Alegre,UTC-3
World Cup 2014,Matchday 14,44,2014-06-25,13:00,Bosnia-Herzegovina,BIH,Iran,IRN,3,1,null,null,,,,,,Edin Džeko,23,,1,0,,,Reza Ghoochannejhad,82,,2,1,,,Group F,fontenova,Arena Fonte Nova,Salvador,UTC-3
